DIST	Incumbent	Biden 2020	Trump 2020	Harris 2024	Trump 2024	2026 PVI	2026 Raw PVI	2026 PVI Rank	2025 PVI	2025 Raw PVI	2025 PVI Rank	Raw PVI Shift
MO-08	Jason Smith (R)	86665	274776	83353	282416	R+27	-26.91918991	430	R+27	-26.97355	429	0.1
MT-01	OPEN (Zinke) (R)	143414	165187	137408	174603	R+5	-5.357237188	242	R+5	-5.35724	251	0
MT-02	Troy Downing (R)	101372	178415	94498	177476	R+15	-14.88803163	369	R+15	-14.88803	362	0
NE-01	Mike Flood (R)	136841	171760	136153	177666	R+6	-6.379947812	257	R+6	-6.37995	260	0
NE-02	OPEN (Bacon) (R)	163353	143612	163541	148905	D+3	2.555583507	184	D+3	2.555584	189	0
NE-03	Adrian Smith (R)	74389	241474	70301	238245	R+27	-27.0287032	431	R+27	-27.0287	430	0
NV-01	Dina Titus (D)	172454	144900	168452	160877	D+2	1.942933193	194	D+2	1.942933	197	0
NV-02	OPEN (Amodei) (R)	173074	217385	176315	235009	R+7	-6.774546765	266	R+7	-6.77455	266	0
NV-03	Susie Lee (D)	190183	166061	187998	190836	D+1	0.560554096	203	D+1	0.560554	207	0
NV-04	Steven Horsford (D)	167775	141544	172432	164483	D+2	1.939867729	195	D+2	1.939868	198	0
NH-01	OPEN (Pappas) (D)	210310	186410	208186	199942	D+2	1.505614627	197	D+2	1.505615	200	0
NH-02	Maggie Goodlander (D)	214627	179250	210302	195581	D+2	2.477889138	185	D+2	2.477889	190	0
NJ-01	Donald Norcross (D)	247809	149439	220600	150098	D+10	10.22245875	116	D+10	10.222459	128	0
NJ-02	Jeff Van Drew (R)	191992	212621	166360	214917	R+5	-5.417984985	244	R+5	-5.41798	252	0
NJ-03	Herb Conaway (D)	248446	186272	212712	179400	D+5	4.968674291	162	D+5	4.968674	160	0
NJ-04	Chris Smith (R)	163452	259839	142650	268072	R+14	-14.30263463	364	R+14	-14.30263	355	0
NJ-05	Josh Gottheimer (D)	240342	186716	200628	194524	D+2	2.143987001	190	D+2	2.143987	194	0
NJ-06	Frank Pallone (D)	197754	131962	167151	146484	D+5	4.960414556	163	D+5	4.960415	161	0
NJ-07	Thomas Kean Jr. (R)	235621	218740	216349	221591	EVEN	0.010634772	206	EVEN	0.010635	212	0
NJ-08	Rob Menendez (D)	172142	64966	135328	81523	D+15	14.9497374	83	D+15	14.949737	90	0
NJ-09	Nellie Pou (D)	185759	125865	137594	140862	D+2	1.957470905	193	D+2	1.957471	196	0
NJ-10	LaMonica McIver (D)	236427	53602	196329	62565	D+27	27.24998582	22	D+27	27.249986	20	0
NJ-11	Analilia Mejia (D)	252563	179028	219563	183688	D+5	5.461013444	159	D+5	5.461013	157	0
NJ-12	OPEN (Watson Coleman) (D)	197484	114224	205449	124491	D+13	12.5353894	97	D+13	12.535389	105	0
NM-01	Melanie Stansbury (D)	201740	149750	194852	150029	D+7	6.717742598	146	D+7	6.717743	148	0
NM-02	Gabe Vasquez (D)	137103	121565	130545	135451	EVEN	0.054301906	205	EVEN	0.054302	211	0
NM-03	Teresa Leger Ferndanez (D)	162771	130579	153405	137911	D+3	3.361305566	178	D+3	3.361306	181	0
NY-01	Nick LaLota (R)	207865	215368	190070	233206	R+4	-4.048136062	230	R+4	-4.04814	240	0
NY-02	Andrew Garbarino (R)	176294	185232	153928	204363	R+6	-5.592660596	248	R+6	-5.59266	256	0
NY-03	Tom Suozzi (D)	216924	172450	178099	194286	EVEN	-0.207244906	208	EVEN	-0.20724	214	0
NY-04	Laura Gillen (D)	223908	166536	194428	189465	D+2	2.316639806	188	D+2	2.31664	193	0
NY-05	Gregory Meeks (D)	216236	49325	170189	68170	D+24	23.901822	36	D+24	23.901822	34	0
NY-06	Grace Meng (D)	149650	81285	109480	96065	D+6	6.142984445	153	D+6	6.142984	154	0
NY-07	OPEN (Velázquez) (D)	199615	48431	168187	60343	D+25	25.31019352	30	D+25	25.310194	29	0
NY-08	Hakeem Jeffries (D)	203839	57668	170067	64988	D+24	23.74603817	38	D+24	23.746038	38	0
NY-09	Yvette Clarke (D)	204641	63636	173762	71900	D+22	22.11412497	40	D+22	22.114125	42	0
NY-10	OPEN (Goldman) (D)	241979	40386	218940	51536	D+32	32.12902846	12	D+32	32.129028	12	0
NY-11	Nicole Malliotakis (R)	134686	157195	100628	167092	R+10	-10.27860796	318	R+10	-10.27861	310	0
NY-12	OPEN (Nadler) (D)	291101	47205	273954	58314	D+33	33.34402762	9	D+33	33.344028	9	0
NY-13	OPEN (Espaillat) (D)	242573	30506	188808	46800	D+32	32.30467353	11	D+32	32.304674	11	0
NY-14	Alexandria Ocasio-Cortez (D)	178044	50778	131879	67385	D+19	19.08460988	61	D+19	19.08461	64	0
NY-15	Ritchie Torres (D)	184551	31315	137445	47283	D+27	27.17140192	24	D+27	27.171402	22	0
NY-16	George Latimer (D)	240160	91076	216167	108141	D+18	18.11226574	68	D+18	18.112266	72	0
NY-17	Mike Lawler (R)	210411	171524	194298	192138	D+1	1.477386396	198	D+1	1.477386	201	0
NY-18	Pat Ryan (D)	196159	163016	190672	178297	D+2	2.4062512	187	D+2	2.406251	191	0
NY-19	Josh Riley (D)	196142	179031	194147	187279	D+1	1.2404146	200	D+1	1.240415	203	0
NY-20	Paul Tonko (D)	224569	151118	211181	158272	D+8	7.809309172	138	D+8	7.809309	142	0
NY-21	OPEN (Stefanik) (R)	146455	202220	140760	214513	R+10	-9.789008944	306	R+10	-9.78901	303	0
NY-22	John Mannion (D)	202853	160633	194091	166358	D+4	4.332250148	169	D+4	4.33225	169	0
NY-23	Nick Langworthy (R)	160041	232953	154127	236890	R+10	-10.26132048	317	R+10	-10.26132	309	0
NY-24	Claudia Tenney (R)	146392	222924	143250	229993	R+11	-11.31029326	340	R+11	-11.31029	327	0
NY-25	Joseph Morelle (D)	231293	150712	220540	151196	D+10	9.627146963	125	D+10	9.627147	134	0
NY-26	Tim Kennedy (D)	218505	129474	200098	134624	D+11	10.52849353	115	D+11	10.528494	126	0
NC-01	Don Davis (D)	190436	218891	182065	230368	R+5	-5.265770347	240	R+1	-0.96819	221	-4.3
NC-02	Deborah Ross (D)	274166	129323	271772	132620	D+17	17.38610188	74	D+17	17.467289	77	-0.1
NC-03	Greg Murphy (R)	153774	182097	147604	194722	R+6	-6.220533376	256	R+10	-10.47161	314	4.3
NC-04	Valerie Foushee (D)	303334	109939	312412	115447	D+23	23.1077092	39	D+23	23.11412	41	0
NC-05	Virginia Foxx (R)	167125	228735	165404	237629	R+9	-8.670504517	292	R+9	-8.68231	291	0
NC-06	Addison McDowell (R)	157036	218933	159349	226292	R+9	-8.572418052	290	R+9	-8.5773	290	0
NC-07	David Rouzer (R)	182076	227833	188294	249694	R+7	-6.657251857	263	R+7	-6.62673	263	0
NC-08	Mark Harris (R)	160781	231187	162358	241622	R+10	-9.607980893	300	R+10	-9.59331	298	0
NC-09	Richard Hudson (R)	157604	209219	158552	219095	R+8	-7.775634946	280	R+8	-7.77173	280	0
NC-10	Pat Harrigan (R)	164108	227817	168702	242192	R+9	-8.743865843	293	R+9	-8.75119	293	0
NC-11	Chuck Edwards (R)	189678	237270	196314	238078	R+5	-5.003680523	239	R+5	-5.00441	247	0
NC-12	Alma Adams (D)	262589	85342	254946	91834	D+24	24.00153549	34	D+24	23.998717	32	0
NC-13	Brad Knott (R)	158090	225136	174774	244879	R+8	-8.456363981	288	R+8	-8.49226	289	0
NC-14	Tim Moore (R)	163301	227009	171063	232469	R+8	-7.751644398	279	R+8	-7.75146	279	0
ND-AL	Julie Fedorchak (R)	114902	235595	112327	246505	R+18	-18.33164024	402	R+18	-18.33164	394	0
